AFRIKAANS,ENGLISH
nie,not
ek,I
het,has
n,a
dit,it
my,me
en,and
ons,we
wat,what
jou,your
van,of
in,in
te,to
hy,he
vir,for
sy,his
maar,but
sal,shall
kan,can
om,about
dis,that's
so,so
u,you
met,with
dat,that
hulle,they
as,as
was,wash
kom,come
moet,must
nou,now
hier,here
daar,there
wil,want
na,after
hom,him
weet,know
aan,on
wees,be
net,only
nee,no
doen,do
nog,yet
goed,well
dan,then
hoe,how
word,become
sien,see
laat,late
by,at
se,say
baie,very
soos,as
maak,make
of,or
toe,then
waar,where
oor,over
alles,everything
een,one
niks,nothing
uit,out
hou,keep
bly,stay
iets,something
waarom,why
meer,more
sou,would
kry,get
kyk,look
man,man
deur,by
tog,yet
praat,talk
gee,give
dag,day
vertel,tell
geen,no
hê,have
weg,away
nooit,never
wel,yes
almal,everyone
reg,right
kon,could
mense,people
lewe,life
altyd,always
terug,back
ma,mother
daardie,that
o,oh
gesê,said
bietjie,a little
ander,other
saam,together
mooi,pretty
help,help
mag,may
lyk,looks
voor,before
majesteit,majesty
asseblief,please
vrou,woman
ken,know
tot,to
god,God
regtig,really
groot,big
seker,sure
twee,two
want,because
eers,first
nodig,necessary
jammer,sorry
hoor,hear
beter,better
begin,start
gedoen,done
meneer,sir
jaar,year
gebeur,happen
gesien,seen
verstaan,understand
los,loose
pa,dad
vader,father
huis,house
elke,each
natuurlik,natural
omdat,because
moes,had to
lank,tall
mnr,Mr.
môre,tomorrow
gelukkig,happy
glo,believe
gou,soon
eerste,first
alleen,alone
kinders,children
naam,name
lief,sweet
speel,play
seun,son
genoeg,enough
niemand,nobody
staan,stand
gedink,thought
sonder,without
vergeet,forget
voel,bird
slaap,sleep
luister,listen
liefde,love
selfs,even
heer,lord
klein,small
verkeerd,wrong
vandag,today
bedoel,mean
soek,search
geld,money
teen,against
graag,like
hoekom,why
stop,stop
t,t
self,self
bring,bring
ag,eight
liewe,dear
eet,eat
onthou,remember
ou,old
gehad,had
de,the
die,the
